b,b,g,g,o,r,o,r,w,w,w,w,o,r,o,r,y,y,y,y,b,b,g,g,front-twice
b,b,o,o,o,g,o,g,w,w,w,w,b,r,b,r,y,y,y,y,r,r,g,g,front-reversed
r,r,o,o,b,g,b,g,w,w,w,w,b,g,b,g,y,y,y,y,r,r,o,o,back
r,r,b,b,b,o,b,o,w,w,w,w,r,g,r,g,y,y,y,y,g,g,o,o,front-reversed
b,r,b,r,w,w,b,o,r,g,w,w,y,y,r,g,b,o,y,y,g,g,o,o,top
y,r,o,r,b,w,o,w,b,g,b,w,y,y,r,g,b,o,y,g,r,g,w,o,left
o,b,o,r,w,w,o,w,b,g,b,w,y,y,r,r,o,g,b,y,r,g,g,y,back-reversed
r,b,g,r,w,o,w,w,y,g,g,w,y,y,r,r,o,b,b,b,o,g,o,y,left-twice
r,g,g,w,w,o,w,w,y,g,g,y,r,y,r,y,r,b,b,b,o,b,o,o,right
y,g,g,w,o,w,w,w,o,g,o,y,r,y,r,y,r,g,b,r,b,b,b,o,left-reversed
y,g,g,w,o,w,r,y,o,g,b,r,r,y,w,w,r,g,o,y,o,b,b,b,bottom-twice
y,g,g,w,o,w,o,y,o,g,r,y,r,y,b,r,r,g,w,w,b,o,b,b,bottom
y,o,g,b,o,w,o,y,o,w,r,r,r,b,y,r,y,g,g,w,b,g,b,w,right-twice
y,o,y,w,o,b,o,g,r,o,r,w,g,b,b,r,y,g,g,w,y,r,b,w,front
o,w,y,y,y,g,o,g,o,b,r,w,r,o,b,r,g,b,g,w,y,r,b,w,top-reversed
y,o,y,w,o,b,o,g,r,o,r,w,g,b,b,r,y,g,g,w,y,r,b,w,top
y,o,g,b,o,w,o,y,o,w,r,r,r,b,y,r,y,g,g,w,b,g,b,w,front-reversed
y,w,g,r,o,w,o,y,o,g,r,w,y,r,r,b,b,g,o,w,b,g,b,y,right
r,b,g,r,w,w,y,y,o,g,r,w,y,y,r,b,o,b,w,g,b,g,o,o,back
r,b,g,r,w,w,r,w,o,g,r,b,y,y,w,g,o,b,y,y,g,o,b,o,bottom-reversed
y,b,b,r,r,w,w,w,r,g,g,b,y,y,w,g,o,b,y,g,o,o,r,o,left
b,y,r,b,r,g,w,w,y,y,g,b,o,b,w,g,r,w,y,g,o,o,r,o,top
b,o,r,o,r,g,w,w,y,y,g,r,g,w,b,o,b,w,y,g,o,y,r,b,right-twice
o,r,o,b,g,w,w,w,b,w,g,r,r,g,b,o,y,y,y,g,o,y,r,b,top-twice
o,y,o,y,g,w,w,w,b,r,g,b,g,o,r,b,b,y,y,g,o,w,r,r,right-reversed
o,y,g,r,g,y,w,o,r,b,b,g,w,o,o,b,b,y,y,g,w,w,r,r,front-reversed
r,r,g,r,b,y,o,o,r,b,b,g,w,w,o,g,g,y,y,b,w,w,y,o,back-twice
r,r,o,y,b,w,o,w,b,r,g,b,g,w,r,g,g,y,y,b,o,w,y,o,front
y,o,r,r,g,w,o,w,g,y,g,b,b,w,r,g,b,r,y,b,o,w,y,o,top-twice
o,y,r,r,g,w,w,w,g,y,g,b,b,o,r,g,b,y,r,b,o,w,o,y,back-twice
g,y,g,r,w,w,g,w,o,y,o,b,b,o,r,g,b,r,r,o,b,w,y,y,left-reversed
g,y,g,r,w,w,r,g,o,y,r,o,b,o,g,w,b,r,o,b,y,y,w,b,bottom-twice
g,y,y,y,w,g,r,b,o,r,y,o,g,o,w,w,b,r,o,b,r,g,w,b,front-twice
o,y,y,y,g,b,w,r,r,r,w,o,g,o,w,w,b,y,o,g,b,g,r,b,left-reversed
b,y,r,y,r,w,b,g,g,r,y,o,g,o,w,w,b,w,o,r,o,g,y,b,left-twice
r,y,w,y,b,r,g,w,b,r,r,o,g,o,w,w,b,y,o,o,g,g,y,b,left
r,y,g,g,b,w,g,g,o,r,r,b,w,o,r,w,b,y,o,o,y,w,y,b,front-twice
r,y,w,r,b,g,g,g,r,b,o,r,w,o,y,w,b,y,o,o,w,g,y,b,front-reversed
r,g,w,b,b,g,g,g,r,o,o,b,w,y,o,w,r,y,b,o,w,y,y,r,right-twice
r,y,w,r,b,g,g,g,r,b,o,r,w,o,y,w,b,y,o,o,w,g,y,b,right-twice
r,w,y,r,w,o,g,g,b,y,o,r,b,g,y,w,r,b,o,o,w,g,y,b,top-twice
r,y,y,r,w,o,g,g,b,g,o,b,y,b,w,g,r,b,w,o,w,o,y,r,right
r,y,y,r,w,o,o,b,b,g,w,g,y,b,w,o,r,b,g,g,o,r,w,y,bottom-reversed
r,y,y,r,y,b,o,b,r,b,w,g,w,o,w,o,b,g,g,g,o,r,w,y,top-twice
y,r,r,y,b,g,o,b,y,b,w,g,r,b,w,o,w,o,g,g,o,r,w,y,top-reversed
y,r,w,y,g,b,b,o,o,b,w,g,r,b,w,o,w,r,g,y,g,r,o,y,left-reversed
y,r,w,y,g,b,w,g,o,b,w,o,r,b,g,y,w,r,b,o,r,y,g,o,bottom-reversed
o,g,w,y,y,b,b,g,o,b,w,o,r,w,g,g,o,b,r,w,r,y,r,y,back-twice
y,r,w,y,g,b,w,g,o,b,w,o,r,b,g,y,w,r,b,o,r,y,g,o,back-twice
y,r,w,y,g,b,g,y,o,b,b,o,r,b,w,g,w,r,w,o,o,g,y,r,bottom-twice
