b,b,o,o,o,g,o,g,w,w,w,w,b,r,b,r,y,y,y,y,r,r,g,g,front
o,o,b,b,b,r,o,g,y,y,w,w,o,g,b,r,w,w,y,y,r,r,g,g,top-twice
o,o,b,b,b,r,w,w,y,y,b,r,o,g,y,y,w,w,o,g,r,g,r,g,bottom-reversed
w,b,b,b,r,r,g,w,y,y,b,r,o,o,y,o,w,g,w,o,r,g,y,g,back-reversed
w,b,o,y,r,b,g,b,y,r,y,b,g,o,r,o,w,g,w,o,r,w,y,g,front-reversed
w,w,o,w,r,b,g,b,y,b,y,y,o,o,g,r,g,g,w,o,r,r,y,b,right-reversed
g,r,o,w,y,b,b,b,y,b,y,y,o,w,g,w,g,o,g,w,r,r,r,o,back-reversed
g,r,r,r,y,g,b,o,y,y,b,y,b,w,b,w,g,o,g,w,w,o,r,o,front-twice
o,r,r,r,w,g,w,o,y,y,b,y,b,b,b,y,w,g,o,g,w,o,r,g,back-twice
g,r,g,r,w,w,o,g,o,y,r,y,b,b,b,y,w,r,o,w,y,o,b,g,left
g,r,g,r,w,w,b,y,o,y,o,w,b,b,o,g,w,r,r,y,g,b,o,y,bottom-twice
y,o,g,r,g,w,b,y,o,y,o,w,b,b,o,w,y,r,r,w,g,b,r,g,back-twice
y,o,g,r,g,w,o,w,o,y,r,w,b,b,b,y,y,r,o,w,g,r,b,g,bottom-twice
g,o,b,r,w,o,w,g,w,y,r,w,b,b,b,y,y,r,o,o,y,r,g,g,left-twice
g,r,b,g,w,o,w,g,w,o,r,y,y,b,b,b,w,r,y,o,y,o,g,r,right-twice
b,b,b,g,r,o,g,g,w,o,r,y,y,r,b,g,y,w,o,r,y,o,w,w,back
b,b,g,o,r,y,g,o,r,w,y,o,b,r,g,g,y,w,o,r,b,y,w,w,front
b,b,g,o,r,y,o,r,r,w,g,o,b,r,y,o,y,w,g,g,w,b,w,y,bottom
r,o,g,o,b,y,b,r,r,w,g,o,b,y,y,w,g,y,g,w,w,b,r,o,back
w,o,y,o,b,b,r,y,r,w,g,o,b,y,y,w,g,r,g,w,r,b,g,o,left
o,o,w,y,g,r,r,y,b,b,g,o,r,w,y,w,b,y,g,w,r,b,g,o,top-reversed
w,w,w,y,o,r,o,y,b,b,g,o,r,o,y,g,g,b,w,y,r,b,g,r,back
w,w,w,y,o,r,w,y,b,b,o,y,r,o,g,o,g,b,y,g,g,r,r,b,bottom
o,o,w,y,w,r,w,y,b,b,o,y,r,b,g,r,y,g,g,b,g,r,o,w,back
o,r,w,w,w,r,w,y,b,g,o,y,r,g,b,r,y,g,b,b,g,o,o,y,right-twice
w,w,r,o,r,g,w,y,y,g,o,y,w,r,b,r,b,g,b,b,g,o,o,y,top-twice
w,w,r,o,r,g,b,r,y,g,b,b,w,r,w,y,b,g,o,y,y,o,o,g,bottom-twice
o,r,w,w,w,r,b,r,b,g,b,b,r,g,w,y,y,g,o,y,y,o,o,g,top-twice
y,r,g,w,b,w,r,r,o,g,w,b,r,g,w,y,y,o,o,y,b,o,b,g,left
y,r,r,w,b,b,r,o,w,o,b,g,g,g,w,y,y,o,o,y,w,r,b,g,front
